X,Y,Date,Daily.Max.8.hour.Ozone.Concentration
-77.05922,38.857700000922,07/25/2019,0.05
-77.05922,38.857700000922,07/26/2019,0.062
-77.05922,38.857700000922,07/27/2019,0.055
-77.05922,38.857700000922,07/28/2019,0.06
-77.05922,38.857700000922,07/29/2019,0.059
-77.05922,38.857700000922,07/30/2019,0.068
-77.05922,38.857700000922,07/31/2019,0.05
-77.05922,38.857700000922,08/01/2019,0.064
-77.05922,38.857700000922,08/02/2019,0.056
-77.05922,38.857700000922,08/03/2019,0.059
-77.05922,38.857700000922,08/04/2019,0.057
-77.05922,38.857700000922,08/05/2019,0.062
-77.05922,38.857700000922,08/06/2019,0.063
-77.05922,38.857700000922,08/07/2019,0.053
-77.05922,38.857700000922,08/08/2019,0.055
-77.05922,38.857700000922,08/09/2019,0.051
-77.05922,38.857700000922,08/10/2019,0.048
-77.05922,38.857700000922,08/11/2019,0.04
-77.05922,38.857700000922,08/12/2019,0.057
-77.05922,38.857700000922,08/13/2019,0.045
-77.05922,38.857700000922,08/14/2019,0.051
-77.05922,38.857700000922,08/15/2019,0.05
-77.05922,38.857700000922,08/16/2019,0.049
-77.05922,38.857700000922,08/17/2019,0.05
-77.05922,38.857700000922,08/18/2019,0.047
-77.05922,38.857700000922,08/19/2019,0.058
-77.05922,38.857700000922,08/20/2019,0.062
-77.05922,38.857700000922,08/21/2019,0.041
-77.05922,38.857700000922,08/22/2019,0.061
-77.05922,38.857700000922,08/23/2019,0.02
-77.05922,38.857700000922,08/24/2019,0.035
-77.05922,38.857700000922,08/25/2019,0.034
-77.05922,38.857700000922,08/26/2019,0.027
-77.05922,38.857700000922,08/27/2019,0.035
-77.05922,38.857700000922,08/28/2019,0.033
-77.05922,38.857700000922,08/29/2019,0.047
-77.05922,38.857700000922,08/30/2019,0.058
-77.05922,38.857700000922,08/31/2019,0.067
-77.05922,38.857700000922,09/01/2019,0.047
-77.05922,38.857700000922,09/02/2019,0.041
-77.05922,38.857700000922,09/03/2019,0.063
-77.05922,38.857700000922,09/04/2019,0.047
-77.05922,38.857700000922,09/05/2019,0.041
-77.05922,38.857700000922,09/06/2019,0.031
-77.05922,38.857700000922,09/07/2019,0.045
-77.05922,38.857700000922,09/08/2019,0.049
-77.05922,38.857700000922,09/09/2019,0.05
-77.05922,38.857700000922,09/10/2019,0.048
-77.05922,38.857700000922,09/11/2019,0.059
-77.05922,38.857700000922,09/12/2019,0.058
-77.05922,38.857700000922,09/13/2019,0.025
-77.05922,38.857700000922,09/14/2019,0.034
-77.05922,38.857700000922,09/15/2019,0.05
-77.05922,38.857700000922,09/16/2019,0.065
-77.05922,38.857700000922,09/17/2019,0.045
-77.05922,38.857700000922,09/18/2019,0.047
-77.05922,38.857700000922,09/19/2019,0.044
-77.05922,38.857700000922,09/20/2019,0.049
-77.05922,38.857700000922,09/21/2019,0.062
-77.05922,38.857700000922,09/22/2019,0.058
-77.05922,38.857700000922,09/23/2019,0.054
-77.05922,38.857700000922,09/24/2019,0.038
-77.05922,38.857700000922,09/25/2019,0.05
-77.05922,38.857700000922,09/26/2019,0.051
-77.05922,38.857700000922,09/27/2019,0.05
-77.05922,38.857700000922,09/28/2019,0.04
-77.05922,38.857700000922,09/29/2019,0.054
-77.05922,38.857700000922,09/30/2019,0.027
-77.05922,38.857700000922,10/01/2019,0.046
-77.05922,38.857700000922,10/02/2019,0.055
-77.05922,38.857700000922,10/03/2019,0.022
-77.05922,38.857700000922,10/04/2019,0.033
-77.05922,38.857700000922,10/05/2019,0.033
-77.05922,38.857700000922,10/06/2019,0.031
-77.05922,38.857700000922,10/07/2019,0.039
-77.05922,38.857700000922,10/08/2019,0.027
-77.05922,38.857700000922,10/09/2019,0.025
-77.05922,38.857700000922,10/10/2019,0.034
-77.05922,38.857700000922,10/11/2019,0.041
-77.05922,38.857700000922,10/12/2019,0.038
-77.05922,38.857700000922,10/13/2019,0.028
-77.05922,38.857700000922,10/14/2019,0.042
-77.05922,38.857700000922,10/15/2019,0.047
-77.05922,38.857700000922,10/16/2019,0.03
-77.05922,38.857700000922,10/17/2019,0.029
-77.05922,38.857700000922,10/18/2019,0.032
-77.05922,38.857700000922,10/19/2019,0.032
-77.05922,38.857700000922,10/20/2019,0.031
-77.05922,38.857700000922,10/21/2019,0.035
-77.05922,38.857700000922,10/22/2019,0.02
-77.05922,38.857700000922,10/23/2019,0.035
-77.05922,38.857700000922,10/24/2019,0.033
-77.05922,38.857700000922,10/25/2019,0.021
-77.05922,38.857700000922,10/26/2019,0.033
-77.05922,38.857700000922,10/27/2019,0.035
-77.05922,38.857700000922,10/28/2019,0.034
-77.05922,38.857700000922,10/29/2019,0.032
-77.05922,38.857700000922,10/30/2019,0.024
-77.37742,38.200870000917,03/01/2019,0.035
-77.37742,38.200870000917,03/02/2019,0.029
-77.37742,38.200870000917,03/03/2019,0.03
-77.37742,38.200870000917,03/04/2019,0.045
-77.37742,38.200870000917,03/05/2019,0.043
-77.37742,38.200870000917,03/06/2019,0.043
-77.37742,38.200870000917,03/07/2019,0.046
-77.37742,38.200870000917,03/08/2019,0.037
-77.37742,38.200870000917,03/09/2019,0.039
-77.37742,38.200870000917,03/10/2019,0.032
-77.37742,38.200870000917,03/11/2019,0.043
-77.37742,38.200870000917,03/12/2019,0.05
-77.37742,38.200870000917,03/16/2019,0.049
-77.37742,38.200870000917,03/17/2019,0.046
-77.37742,38.200870000917,03/18/2019,0.044
-77.37742,38.200870000917,03/19/2019,0.05
-77.37742,38.200870000917,03/20/2019,0.052
-77.37742,38.200870000917,03/21/2019,0.042
-77.37742,38.200870000917,03/22/2019,0.046
-77.37742,38.200870000917,03/23/2019,0.048
-77.37742,38.200870000917,03/24/2019,0.054
-77.37742,38.200870000917,03/25/2019,0.053
-77.37742,38.200870000917,03/26/2019,0.043
-77.37742,38.200870000917,03/27/2019,0.049
-77.37742,38.200870000917,03/28/2019,0.054
-77.37742,38.200870000917,03/29/2019,0.059
-77.37742,38.200870000917,03/30/2019,0.06
-77.37742,38.200870000917,03/31/2019,0.046
-77.37742,38.200870000917,04/01/2019,0.047
-77.37742,38.200870000917,04/02/2019,0.045
-77.37742,38.200870000917,04/03/2019,0.056
-77.37742,38.200870000917,04/04/2019,0.056
-77.37742,38.200870000917,04/05/2019,0.043
-77.37742,38.200870000917,04/06/2019,0.043
-77.37742,38.200870000917,04/07/2019,0.049
-77.37742,38.200870000917,04/08/2019,0.041
-77.37742,38.200870000917,04/09/2019,0.047
-77.37742,38.200870000917,04/10/2019,0.056
-77.37742,38.200870000917,04/11/2019,0.043
-77.37742,38.200870000917,04/12/2019,0.04
-77.37742,38.200870000917,04/13/2019,0.045
-77.37742,38.200870000917,04/14/2019,0.032
-77.37742,38.200870000917,04/15/2019,0.045
-77.37742,38.200870000917,04/16/2019,0.048
-77.37742,38.200870000917,04/19/2019,0.032
-77.37742,38.200870000917,04/20/2019,0.042
-77.37742,38.200870000917,04/21/2019,0.036
-77.37742,38.200870000917,04/22/2019,0.046
-77.37742,38.200870000917,04/23/2019,0.05
-77.37742,38.200870000917,04/24/2019,0.046
-77.37742,38.200870000917,04/25/2019,0.053
-77.37742,38.200870000917,04/26/2019,0.041
-77.37742,38.200870000917,04/27/2019,0.052
-77.37742,38.200870000917,04/28/2019,0.046
-77.37742,38.200870000917,04/29/2019,0.04
-77.37742,38.200870000917,04/30/2019,0.047
-77.37742,38.200870000917,05/01/2019,0.035
-77.37742,38.200870000917,05/02/2019,0.038
-77.37742,38.200870000917,05/03/2019,0.044
-77.37742,38.200870000917,05/04/2019,0.042
-77.37742,38.200870000917,05/05/2019,0.025
-77.37742,38.200870000917,05/06/2019,0.04
-77.37742,38.200870000917,05/07/2019,0.042
-77.37742,38.200870000917,05/08/2019,0.049
-77.37742,38.200870000917,05/09/2019,0.042
-77.37742,38.200870000917,05/10/2019,0.038
-77.37742,38.200870000917,05/11/2019,0.03
-77.37742,38.200870000917,05/13/2019,0.032
-77.37742,38.200870000917,05/14/2019,0.036
-77.37742,38.200870000917,05/15/2019,0.046
-77.37742,38.200870000917,05/16/2019,0.054
-77.37742,38.200870000917,05/17/2019,0.043
-77.37742,38.200870000917,05/18/2019,0.049
-77.37742,38.200870000917,05/19/2019,0.049
-77.37742,38.200870000917,05/20/2019,0.04
-77.37742,38.200870000917,05/21/2019,0.045
-77.37742,38.200870000917,05/22/2019,0.039
-77.37742,38.200870000917,05/24/2019,0.054
-77.37742,38.200870000917,05/25/2019,0.058
-77.37742,38.200870000917,05/26/2019,0.039
-77.37742,38.200870000917,05/27/2019,0.043
-77.37742,38.200870000917,05/28/2019,0.034
-77.37742,38.200870000917,05/29/2019,0.036
